Time	Node	Type	Packets	
110	0	CacheHits	0
110	0	CacheMisses	102
110	1	CacheHits	0
110	1	CacheMisses	102
110	2	CacheHits	1
110	2	CacheMisses	103
111	0	CacheHits	0
111	0	CacheMisses	0
111	1	CacheHits	0
111	1	CacheMisses	0
111	2	CacheHits	0
111	2	CacheMisses	0
112	0	CacheHits	0
112	0	CacheMisses	151
112	1	CacheHits	0
112	1	CacheMisses	151
112	2	CacheHits	1
112	2	CacheMisses	152
113	0	CacheHits	0
113	0	CacheMisses	68
113	1	CacheHits	0
113	1	CacheMisses	68
113	2	CacheHits	1
113	2	CacheMisses	69
114	0	CacheHits	0
114	0	CacheMisses	0
114	1	CacheHits	0
114	1	CacheMisses	0
114	2	CacheHits	0
114	2	CacheMisses	0
115	0	CacheHits	0
115	0	CacheMisses	92
115	1	CacheHits	0
115	1	CacheMisses	92
115	2	CacheHits	1
115	2	CacheMisses	93
116	0	CacheHits	0
116	0	CacheMisses	0
116	1	CacheHits	0
116	1	CacheMisses	0
116	2	CacheHits	0
116	2	CacheMisses	0
117	0	CacheHits	0
117	0	CacheMisses	53
117	1	CacheHits	0
117	1	CacheMisses	62
117	2	CacheHits	1
117	2	CacheMisses	71
118	0	CacheHits	0
118	0	CacheMisses	28
118	1	CacheHits	0
118	1	CacheMisses	19
118	2	CacheHits	0
118	2	CacheMisses	11
119	0	CacheHits	0
119	0	CacheMisses	0
119	1	CacheHits	0
119	1	CacheMisses	0
119	2	CacheHits	0
119	2	CacheMisses	0
120	0	CacheHits	0
120	0	CacheMisses	131
120	1	CacheHits	0
120	1	CacheMisses	131
120	2	CacheHits	1
120	2	CacheMisses	132
121	0	CacheHits	0
121	0	CacheMisses	1
121	1	CacheHits	0
121	1	CacheMisses	1
121	2	CacheHits	0
121	2	CacheMisses	0
122	0	CacheHits	0
122	0	CacheMisses	167
122	1	CacheHits	0
122	1	CacheMisses	167
122	2	CacheHits	1
122	2	CacheMisses	168
123	0	CacheHits	0
123	0	CacheMisses	92
123	1	CacheHits	0
123	1	CacheMisses	92
123	2	CacheHits	1
123	2	CacheMisses	93
124	0	CacheHits	0
124	0	CacheMisses	0
124	1	CacheHits	0
124	1	CacheMisses	0
124	2	CacheHits	0
124	2	CacheMisses	0
125	0	CacheHits	0
125	0	CacheMisses	45
125	1	CacheHits	0
125	1	CacheMisses	45
125	2	CacheHits	1
125	2	CacheMisses	46
126	0	CacheHits	0
126	0	CacheMisses	0
126	1	CacheHits	0
