Time	Node	Type	Packets	
62	1	CacheMisses	223
62	2	CacheHits	1
62	2	CacheMisses	224
63	0	CacheHits	0
63	0	CacheMisses	0
63	1	CacheHits	0
63	1	CacheMisses	0
63	2	CacheHits	0
63	2	CacheMisses	0
64	0	CacheHits	0
64	0	CacheMisses	321
64	1	CacheHits	0
64	1	CacheMisses	321
64	2	CacheHits	1
64	2	CacheMisses	322
65	0	CacheHits	0
65	0	CacheMisses	0
65	1	CacheHits	0
65	1	CacheMisses	0
65	2	CacheHits	1
65	2	CacheMisses	2
66	0	CacheHits	0
66	0	CacheMisses	373
66	1	CacheHits	0
66	1	CacheMisses	373
66	2	CacheHits	0
66	2	CacheMisses	372
67	0	CacheHits	0
67	0	CacheMisses	0
67	1	CacheHits	0
67	1	CacheMisses	0
67	2	CacheHits	0
67	2	CacheMisses	0
68	0	CacheHits	0
68	0	CacheMisses	362
68	1	CacheHits	0
68	1	CacheMisses	371
68	2	CacheHits	1
68	2	CacheMisses	372
69	0	CacheHits	0
69	0	CacheMisses	9
69	1	CacheHits	0
69	1	CacheMisses	0
69	2	CacheHits	0
69	2	CacheMisses	0
70	0	CacheHits	0
70	0	CacheMisses	643
70	1	CacheHits	0
70	1	CacheMisses	643
70	2	CacheHits	1
70	2	CacheMisses	644
71	0	CacheHits	0
71	0	CacheMisses	0
71	1	CacheHits	0
71	1	CacheMisses	0
71	2	CacheHits	0
71	2	CacheMisses	0
72	0	CacheHits	0
72	0	CacheMisses	64
72	1	CacheHits	0
72	1	CacheMisses	72
72	2	CacheHits	1
72	2	CacheMisses	82
73	0	CacheHits	0
73	0	CacheMisses	488
73	1	CacheHits	0
73	1	CacheMisses	480
73	2	CacheHits	0
73	2	CacheMisses	471
74	0	CacheHits	0
74	0	CacheMisses	286
74	1	CacheHits	0
74	1	CacheMisses	294
74	2	CacheHits	1
74	2	CacheMisses	304
75	0	CacheHits	0
75	0	CacheMisses	93
75	1	CacheHits	0
75	1	CacheMisses	85
75	2	CacheHits	0
75	2	CacheMisses	76
76	0	CacheHits	0
76	0	CacheMisses	360
76	1	CacheHits	0
76	1	CacheMisses	360
76	2	CacheHits	1
76	2	CacheMisses	361
77	0	CacheHits	0
77	0	CacheMisses	0
77	1	CacheHits	0
77	1	CacheMisses	0
77	2	CacheHits	0
77	2	CacheMisses	0
78	0	CacheHits	0
78	0	CacheMisses	262
78	1	CacheHits	0
78	1	CacheMisses	271
78	2	CacheHits	1
78	2	CacheMisses	280
79	0	CacheHits	0
79	0	CacheMisses	75
79	1	CacheHits	0
79	1	CacheMisses	66
79	2	CacheHits	0
79	2	CacheMisses	58
80	0	CacheHits	0
80	0	CacheMisses	338
80	1	CacheHits	0
80	1	CacheMisses	338
80	2	CacheHits	1
80	2	CacheMisses	339
81	0	CacheHits	0
81	0	CacheMisses	0
81	1	CacheHits	0
81	1	CacheMisses	0
81	2	CacheHits	0
81	2	CacheMisses	0
82	0	CacheHits	0
82	0	CacheMisses	303
82	1	CacheHits	0
82	1	CacheMisses	311
82	2	CacheHits	1
82	2	CacheMisses	320
83	0	CacheHits	0
83	0	CacheMisses	458
83	1	CacheHits	0
83	1	CacheMisses	450
83	2	CacheHits	0
83	2	CacheMisses	442
84	0	CacheHits	0
84	0	CacheMisses	316
84	1	CacheHits	0
84	1	CacheMisses	324
84	2	CacheHits	1
84	2	CacheMisses	334
85	0	CacheHits	0
85	0	CacheMisses	327
85	1	CacheHits	0
85	1	CacheMisses	319
85	2	CacheHits	0
85	2	CacheMisses	310
86	0	CacheHits	0
86	0	CacheMisses	447
86	1	CacheHits	0
86	1	CacheMisses	455
86	2	CacheHits	1
86	2	CacheMisses	465
87	0	CacheHits	0
87	0	CacheMisses	371
87	1	CacheHits	0
87	1	CacheMisses	363
87	2	CacheHits	0
87	2	CacheMisses	354
88	0	CacheHits	0
88	0	CacheMisses	403
88	1	CacheHits	0
88	1	CacheMisses	411
88	2	CacheHits	1
88	2	CacheMisses	421
89	0	CacheHits	0
89	0	CacheMisses	833
89	1	CacheHits	0
89	1	CacheMisses	833
89	2	CacheHits	0
89	2	CacheMisses	833
90	0	CacheHits	0
90	0	CacheMisses	774
90	1	CacheHits	0
90	1	CacheMisses	775
90	2	CacheHits	1
90	2	CacheMisses	775
91	0	CacheHits	0
91	0	CacheMisses	118
91	1	CacheHits	0
91	1	CacheMisses	109
91	2	CacheHits	0
91	2	CacheMisses	101
92	0	CacheHits	0
92	0	CacheMisses	655
92	1	CacheHits	0
92	1	CacheMisses	655
92	2	CacheHits	1
92	2	CacheMisses	656
93	0	CacheHits	0
93	0	CacheMisses	0
93	1	CacheHits	0
93	1	CacheMisses	0
93	2	CacheHits	0
93	2	CacheMisses	0
94	0	CacheHits	0
94	0	CacheMisses	459
94	1	CacheHits	0
94	1	CacheMisses	459
94	2	CacheHits	1
94	2	CacheMisses	460
95	0	CacheHits	0
95	0	CacheMisses	0
95	1	CacheHits	0
95	1	CacheMisses	0
95	2	CacheHits	0
95	2	CacheMisses	0
96	0	CacheHits	0
96	0	CacheMisses	258
96	1	CacheHits	0
96	1	CacheMisses	266
96	2	CacheHits	1
96	2	CacheMisses	276
97	0	CacheHits	0
97	0	CacheMisses	461
97	1	CacheHits	0
97	1	CacheMisses	453
97	2	CacheHits	0
97	2	CacheMisses	444
98	0	CacheHits	0
98	0	CacheMisses	313
98	1	CacheHits	0
98	1	CacheMisses	321
98	2	CacheHits	1
98	2	CacheMisses	331
99	0	CacheHits	0
99	0	CacheMisses	240
99	1	CacheHits	0
99	1	CacheMisses	232
99	2	CacheHits	0
99	2	CacheMisses	223
100	0	CacheHits	0
100	0	CacheMisses	534
100	1	CacheHits	0
100	1	CacheMisses	543
100	2	CacheHits	1
100	2	CacheMisses	552
101	0	CacheHits	0
101	0	CacheMisses	78
101	1	CacheHits	0
101	1	CacheMisses	69
101	2	CacheHits	0
101	2	CacheMisses	61
102	0	CacheHits	0
102	0	CacheMisses	634
102	1	CacheHits	0
102	1	CacheMisses	634
102	2	CacheHits	1
102	2	CacheMisses	635
103	0	CacheHits	0
103	0	CacheMisses	10
103	1	CacheHits	0
103	1	CacheMisses	12
103	2	CacheHits	1
103	2	CacheMisses	21
104	0	CacheHits	0
104	0	CacheMisses	703
104	1	CacheHits	0
104	1	CacheMisses	701
104	2	CacheHits	0
104	2	CacheMisses	693
105	0	CacheHits	0
105	0	CacheMisses	0
105	1	CacheHits	0
105	1	CacheMisses	0
105	2	CacheHits	0
105	2	CacheMisses	0
106	0	CacheHits	0
106	0	CacheMisses	65
106	1	CacheHits	0
106	1	CacheMisses	73
106	2	CacheHits	1
106	2	CacheMisses	82
107	0	CacheHits	0
107	0	CacheMisses	583
107	1	CacheHits	0
107	1	CacheMisses	575
107	2	CacheHits	0
107	2	CacheMisses	567
108	0	CacheHits	0
108	0	CacheMisses	191
108	1	CacheHits	0
108	1	CacheMisses	199
108	2	CacheHits	1
108	2	CacheMisses	209
109	0	CacheHits	0
109	0	CacheMisses	535
109	1	CacheHits	0
109	1	CacheMisses	527
109	2	CacheHits	0
109	2	CacheMisses	518
110	0	CacheHits	0
110	0	CacheMisses	239
110	1	CacheHits	0
110	1	CacheMisses	247
110	2	CacheHits	1
110	2	CacheMisses	257
111	0	CacheHits	0
111	0	CacheMisses	428
111	1	CacheHits	0
111	1	CacheMisses	420
111	2	CacheHits	0
111	2	CacheMisses	411
112	0	CacheHits	0
112	0	CacheMisses	346
112	1	CacheHits	0
112	1	CacheMisses	355
112	2	CacheHits	1
112	2	CacheMisses	364
113	0	CacheHits	0
113	0	CacheMisses	468
113	1	CacheHits	0
113	1	CacheMisses	459
113	2	CacheHits	0
113	2	CacheMisses	451
114	0	CacheHits	0
114	0	CacheMisses	306
114	1	CacheHits	0
114	1	CacheMisses	315
114	2	CacheHits	1
114	2	CacheMisses	324
115	0	CacheHits	0
115	0	CacheMisses	230
115	1	CacheHits	0
115	1	CacheMisses	221
115	2	CacheHits	0
115	2	CacheMisses	213
116	0	CacheHits	0
116	0	CacheMisses	544
116	1	CacheHits	0
116	1	CacheMisses	553
116	2	CacheHits	1
116	2	CacheMisses	562
117	0	CacheHits	0
117	0	CacheMisses	222
117	1	CacheHits	0
117	1	CacheMisses	213
117	2	CacheHits	0
117	2	CacheMisses	205
118	0	CacheHits	0
118	0	CacheMisses	553
118	1	CacheHits	0
118	1	CacheMisses	561
118	2	CacheHits	1
118	2	CacheMisses	570
119	0	CacheHits	0
119	0	CacheMisses	52
119	1	CacheHits	0
119	1	CacheMisses	44
119	2	CacheHits	0
119	2	CacheMisses	36
120	0	CacheHits	0
120	0	CacheMisses	573
120	1	CacheHits	0
120	1	CacheMisses	573
120	2	CacheHits	1
120	2	CacheMisses	574
121	0	CacheHits	0
121	0	CacheMisses	1
121	1	CacheHits	0
121	1	CacheMisses	1
121	2	CacheHits	0
121	2	CacheMisses	0
122	0	CacheHits	0
122	0	CacheMisses	90
122	1	CacheHits	0
122	1	CacheMisses	98
122	2	CacheHits	1
122	2	CacheMisses	108
123	0	CacheHits	0
123	0	CacheMisses	774
123	1	CacheHits	0
123	1	CacheMisses	774
123	2	CacheHits	1
123	2	CacheMisses	775
124	0	CacheHits	0
124	0	CacheMisses	478
124	1	CacheHits	0
124	1	CacheMisses	470
124	2	CacheHits	0
124	2	CacheMisses	461
125	0	CacheHits	0
125	0	CacheMisses	0
125	1	CacheHits	0
125	1	CacheMisses	0
125	2	CacheHits	0
125	2	CacheMisses	0
126	0	CacheHits	0
126	0	CacheMisses	296
126	1	CacheHits	0
126	1	CacheMisses	305
126	2	CacheHits	1
126	2	CacheMisses	314
127	0	CacheHits	0
127	0	CacheMisses	46
127	1	CacheHits	0
127	1	CacheMisses	37
127	2	CacheHits	0
127	2	CacheMisses	29
128	0	CacheHits	0
128	0	CacheMisses	438
128	1	CacheHits	0
128	1	CacheMisses	438
128	2	CacheHits	1
128	2	CacheMisses	439
129	0	CacheHits	0
129	0	CacheMisses	0
129	1	CacheHits	0
129	1	CacheMisses	0
129	2	CacheHits	0
129	2	CacheMisses	0
130	0	CacheHits	0
130	0	CacheMisses	232
130	1	CacheHits	0
130	1	CacheMisses	240
130	2	CacheHits	1
130	2	CacheMisses	249
131	0	CacheHits	0
131	0	CacheMisses	478
131	1	CacheHits	0
131	1	CacheMisses	470
131	2	CacheHits	0
131	2	CacheMisses	462
132	0	CacheHits	0
132	0	CacheMisses	296
