Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
554.452	2	277	0	7583796	28	0	
556.452	2	278	0	7230710	28	0	
558.452	2	279	0	6465138	28	0	
560.452	2	280	0	5282063	28	0	
562.452	2	281	0	4693465	28	0	
564.452	2	282	0	3782319	28	0	
566.452	2	283	0	2914796	28	0	
568.452	2	284	0	2974923	28	0	
570.452	2	285	0	3323156	26	0	
572.452	2	286	0	3573586	24	0	
574.452	2	287	0	2803764	22	0	
576.452	2	288	0	3065752	20	0	
578.452	2	289	0	3293578	18	0	
580.452	2	290	0	1681636	16	0	
582.452	2	291	0	4600348	14	0	
584.452	2	292	1	7125267	12	0	0
586.452	2	293	2	7773980	10	0	0,1
588.452	2	294	2	8544589	8	0	0,1
590.452	2	295	3	8822736	6	0	0,1,2
592.452	2	296	3	8832293	4	0	0,1,2
594.452	2	297	3	8757224	2	0	0,1,2
596.452	2	298	3	7008767	0	0	0,1,2
